,0,15,30,45,60,75,90,105,120,135,150,165,180,195,210,225,240,255,270,285,300,315,330,345,360,375,390,405,420,435,450,465,480,495,510,525,540,555,570,585,600,615,630,645,660,675,690,705,720,735,750,765,780,795,810,825,840,855,870,885,900,915,930,945,960,975,990,1005,1020,1035,1050,1065,1080,1095,1110,1125,1140,1155,1170,1185,1200,1215,1230,1245,1260,1275,1290,1305,1320,1335,1350,1365,1380,1395,1410,1425
0,4.096,4.071000000000001,4.121,3.923,3.8739999999999997,3.948,4.17,3.824,4.022,3.923,3.8489999999999998,3.997,3.8,3.9730000000000003,3.8739999999999997,4.022,3.923,4.145,4.022,4.071000000000001,4.121,3.824,3.775,4.244,4.17,3.8489999999999998,3.8489999999999998,3.75,3.8489999999999998,3.8489999999999998,3.8739999999999997,4.121,3.997,3.948,3.824,3.948,3.9730000000000003,3.9730000000000003,3.701,93.723,95.994,92.835,74.895,74.796,87.307,78.251,74.204,71.119,69.441,85.975,73.01899999999999,95.895,69.935,76.252,71.218,70.57600000000001,79.682,82.98899999999999,72.25399999999999,99.868,101.25,95.67299999999999,99.177,69.219,71.958,73.513,74.598,69.54,91.05799999999999,79.337,69.935,91.626,70.37899999999999,79.238,76.57300000000001,72.87100000000001,72.77199999999999,71.292,70.502,70.107,69.54,69.638,69.712,70.083,69.885,70.132,69.984,69.737,69.441,70.132,69.564,85.382,66.208,69.589,69.54,69.836
1,81.977,69.786,86.04899999999999,70.57600000000001,83.852,70.551,9.352,9.426,9.179,9.13,9.302999999999999,9.155,9.229,9.401,9.105,9.377,9.253,9.525,9.179,9.426,9.081,9.277999999999999,9.377,9.426,9.229,9.179,9.253,9.401,9.204,9.204,9.377,9.105,9.056000000000001,9.253,9.081,8.908,8.883,8.957,9.105,8.957,80.842,78.646,75.117,73.685,71.687,70.403,85.851,71.44,70.57600000000001,70.181,71.045,71.07,80.718,76.918,82.07600000000001,76.622,85.70299999999999,81.459,71.933,92.98299999999999,94.76,94.167,93.97,78.3,70.551,74.40100000000001,70.89699999999999,74.944,71.292,71.39,95.72200000000001,81.40899999999999,69.416,78.547,67.343,77.955,82.396,87.751,87.184,76.869,76.523,87.455,75.388,74.697,80.225,70.601,71.02,71.983,4.145,4.071000000000001,3.948,3.775,4.022,3.923,3.824,3.898
2,4.071000000000001,4.195,3.997,3.9730000000000003,3.8,3.6519999999999997,3.7260000000000004,3.627,3.8489999999999998,3.8739999999999997,3.7260000000000004,3.8,3.701,3.602,3.7260000000000004,3.898,3.75,3.5780000000000003,3.948,3.701,3.8489999999999998,3.7260000000000004,3.5780000000000003,3.5039999999999996,3.75,3.75,3.824,3.775,3.553,3.7260000000000004,3.676,3.602,3.775,3.75,3.6519999999999997,3.775,3.8489999999999998,3.627,83.87700000000001,80.694,85.851,90.861,87.406,82.421,84.321,81.508,83.161,90.713,90.589,75.314,72.279,84.86399999999999,72.748,80.521,80.29899999999999,85.40700000000001,76.968,75.018,80.25,96.04299999999999,94.809,95.105,93.08200000000001,70.7,75.141,73.093,70.255,77.609,71.711,83.06299999999999,78.917,76.992,82.322,69.712,71.884,69.811,67.26899999999999,73.685,86.863,70.329,73.488,77.436,73.883,74.056,3.775,3.898,3.701,3.6519999999999997,3.5780000000000003,3.8739999999999997,3.824,3.5780000000000003,3.6519999999999997,3.7260000000000004,3.602,3.8739999999999997
3,4.047,3.9730000000000003,3.898,3.824,3.775,3.7260000000000004,3.8,3.775,3.553,3.775,3.898,3.824,3.5039999999999996,3.5780000000000003,3.8,3.7260000000000004,3.553,3.8489999999999998,3.676,3.8,3.75,3.824,3.627,3.701,3.676,3.75,3.602,3.8739999999999997,3.824,3.6519999999999997,3.923,3.775,3.824,3.997,3.923,3.824,4.121,85.876,88.714,72.205,72.822,72.205,70.625,70.453,70.28,82.15,83.285,82.569,71.539,71.835,70.453,70.7,75.783,70.798,71.02,75.808,82.421,75.314,71.193,93.921,94.56200000000001,94.167,93.773,90.836,85.999,70.774,71.34100000000001,70.89699999999999,70.65,87.505,89.92299999999999,109.094,76.104,70.774,70.181,70.403,75.117,4.047,3.898,3.7260000000000004,3.602,3.7260000000000004,3.75,3.8489999999999998,3.8489999999999998,3.6519999999999997,3.701,3.6519999999999997,3.676,3.602,3.9730000000000003,3.7260000000000004,3.8,3.7260000000000004,3.824,3.898
4,3.923,3.775,3.8739999999999997,3.898,3.602,3.701,3.5780000000000003,3.528,3.5780000000000003,3.8739999999999997,3.824,3.602,3.6519999999999997,3.676,3.75,3.9730000000000003,3.676,3.775,3.8489999999999998,3.6519999999999997,3.775,3.676,3.8489999999999998,4.022,3.701,3.775,4.071000000000001,3.602,3.6519999999999997,3.997,4.071000000000001,3.824,4.047,3.997,4.022,4.071000000000001,3.997,80.422,85.555,86.962,85.111,82.322,82.446,81.829,75.289,82.594,83.186,76.57300000000001,82.22399999999999,73.932,72.69800000000001,72.52600000000001,83.161,78.744,81.903,92.07,77.584,85.06200000000001,78.917,92.81,100.238,98.708,100.559,71.07,76.47399999999999,75.265,71.835,72.649,70.132,69.712,69.244,70.37899999999999,72.55,70.551,57.67,53.919,52.068000000000005,51.205,48.786,98.905,101.15100000000001,98.461,69.46600000000001,49.206,48.638000000000005,33.314,6.193,6.218,6.242999999999999,6.169,6.44,6.218,6.49,6.44,6.3420000000000005,6.465
5,6.539,6.44,6.49,6.3660000000000005,6.218,6.513999999999999,6.3660000000000005,6.317,6.416,6.564,6.391,6.3660000000000005,6.242999999999999,6.317,6.3420000000000005,6.638,6.267,6.07,6.3420000000000005,6.317,6.3660000000000005,6.391,6.513999999999999,6.465,6.391,6.416,5.971,6.193,6.07,6.242999999999999,6.267,6.193,6.045,6.465,6.07,74.993,73.217,88.44200000000001,76.64699999999999,71.02,85.654,79.53399999999999,72.822,72.649,71.415,79.633,96.36399999999999,100.70700000000001,81.385,85.35799999999999,69.663,69.885,71.07,74.623,71.094,75.438,74.204,69.984,67.12100000000001,92.637,92.68700000000001,92.884,108.292,82.619,99.94200000000001,85.777,86.542,94.464,81.533,76.622,83.976,71.44,75.66,79.87899999999999,71.514,84.395,79.97800000000001,3.898,3.8489999999999998,4.145,3.627,3.997,3.997,3.8489999999999998,4.022,4.269,3.948,3.9730000000000003,3.9730000000000003,3.9730000000000003,4.121,4.022,3.898,3.7260000000000004,3.824,4.071000000000001
6,3.8489999999999998,3.824,4.195,4.195,4.096,3.898,3.824,3.775,3.923,3.824,4.17,4.071000000000001,3.898,3.923,3.898,3.948,3.948,3.9730000000000003,3.8489999999999998,3.9730000000000003,4.195,3.898,3.824,3.8739999999999997,4.022,3.997,3.4789999999999996,3.676,3.676,3.6519999999999997,3.75,3.43,3.701,3.824,3.7260000000000004,75.067,73.685,71.835,72.35300000000001,71.884,71.218,70.89699999999999,80.99,60.06399999999999,59.669,58.558,108.649,106.64299999999999,96.685,75.413,73.685,69.46600000000001,80.965,73.735,76.795,72.402,70.083,85.40700000000001,74.796,96.38799999999999,95.72200000000001,95.40100000000001,94.661,79.164,71.637,71.045,82.24799999999999,74.524,66.48,69.959,69.318,69.984,70.477,81.533,77.387,81.064,72.205,71.07,70.625,71.58800000000001,70.009,69.342,69.021,69.54,75.265,69.46600000000001,70.922,69.885,69.959,69.786,69.638,85.605,71.292,69.712,66.15899999999999,3.824
7,3.824,3.676,3.824,3.898,3.775,3.9730000000000003,3.8489999999999998,3.6519999999999997,3.7260000000000004,3.75,3.8489999999999998,3.775,3.701,3.75,3.701,3.627,3.602,3.75,3.676,3.701,3.8739999999999997,3.75,3.701,3.75,4.071000000000001,4.121,4.071000000000001,4.022,4.071000000000001,4.145,3.997,3.997,4.071000000000001,4.071000000000001,3.9730000000000003,4.071000000000001,3.923,3.8,3.9730000000000003,85.506,86.88799999999999,95.155,82.66799999999999,98.387,86.789,96.90700000000001,70.749,90.26799999999999,72.057,71.14399999999999,77.14,69.86,80.027,76.375,75.215,74.352,69.268,71.366,73.883,94.365,94.587,94.242,94.09299999999999,71.193,74.919,82.02600000000001,72.6,72.378,76.548,75.191,74.771,72.501,72.18,71.613,69.46600000000001,75.536,72.575,74.969,67.763,67.442,66.11,3.7260000000000004,3.775,3.7260000000000004,3.627,3.775,3.676,3.676,3.775,3.898,3.8,3.5780000000000003,3.898,3.602,3.8,3.775
8,3.8,3.8489999999999998,3.8,3.701,3.701,3.602,3.7260000000000004,3.7260000000000004,3.824,3.948,3.8,3.528,3.75,3.8,3.8739999999999997,3.923,3.8739999999999997,3.7260000000000004,3.8739999999999997,3.8489999999999998,3.8489999999999998,3.8489999999999998,3.75,3.6519999999999997,3.75,3.6519999999999997,3.824,3.775,3.627,3.8739999999999997,3.923,3.6519999999999997,3.824,3.7260000000000004,3.775,3.8489999999999998,3.627,67.88600000000001,86.221,98.56,79.262,72.896,88.936,69.885,74.45,81.483,72.822,69.959,71.933,65.91199999999999,66.15899999999999,69.688,67.516,79.657,76.597,70.23100000000001,72.723,78.794,80.274,73.883,74.747,73.513,74.376,94.78399999999999,94.414,94.242,94.34,72.155,83.359,79.312,75.906,74.524,69.12,89.01,72.6,70.65,65.369,71.687,73.241,72.6,71.14399999999999,4.244,3.997,3.948,3.8489999999999998,3.9730000000000003,4.145,3.9730000000000003,3.948,3.997,4.022,4.022,3.9730000000000003,3.923,3.923,3.923
9,4.022,4.022,3.898,4.244,4.121,3.824,3.824,4.121,3.9730000000000003,3.8489999999999998,3.8489999999999998,3.923,4.022,4.121,3.8489999999999998,3.8489999999999998,4.047,3.948,3.923,3.553,3.997,4.218999999999999,4.096,3.997,3.824,3.824,3.75,3.948,3.8,3.553,3.8739999999999997,3.775,3.948,3.676,3.75,3.701,78.794,85.777,82.816,71.267,78.423,71.44,70.23100000000001,70.65,71.563,70.453,82.322,83.68,87.603,93.402,84.17299999999999,83.655,76.301,72.649,79.065,71.119,76.079,70.65,70.28,70.157,71.14399999999999,71.539,69.984,94.71,96.21600000000001,95.13,93.131,70.354,74.747,75.734,76.893,69.959,70.82300000000001,69.91,66.875,88.368,69.762,66.77600000000001,67.837,71.958,88.39299999999999,70.848,82.66799999999999,83.161,84.321,81.508,82.22399999999999,3.923,4.096,3.8739999999999997,3.8739999999999997,3.8739999999999997,3.948,4.145,4.047,3.824
